RN,RCQ,DLF,LR,LRM,EELV,PS,LFI,PublDate,collectPeriodFrom,collectPeriodTo
0.213,,0.047,0.2001,0.2401,,0.0636,0.1957999999999999,2017-04-23,2017-04-23,2017-04-23
0.2314999999999999,0.0707,0.0206,0.0478,0.2784,0.0463,0.0175,0.2195,2022-04-10,2022-04-10,2022-04-10
